,itemsets,counts
7696,"frozenset({'go', 'die'})",3
14094,"frozenset({'use', 'time'})",3
6215,"frozenset({'mask', 'tell'})",3
4197,"frozenset({'week', 'school'})",3
71,"frozenset({'quarantine', 'positive'})",3
6152,"frozenset({'look', 'forward'})",3
4183,"frozenset({'day', 'zealand'})",3
276,"frozenset({'patient', 'need'})",3
187,"frozenset({'positive', 'cm'})",3
135,"frozenset({'single', 'hour'})",3
130,"frozenset({'confirm', 'july'})",3
125,"frozenset({'daily', 'record'})",3
155,"frozenset({'patient', 'die'})",3
4165,"frozenset({'year', 'due'})",3
124,"frozenset({'lockdown', 'day'})",3
165,"frozenset({'update', 'positive'})",3
167,"frozenset({'mask', 'stay'})",3
7928,"frozenset({'update', 'health'})",3
2316,"frozenset({'others', 'wear'})",3
185,"frozenset({'positive', 'chief'})",3
11737,"frozenset({'vote', 'trump'})",3
5753,"frozenset({'cross', 'million'})",3
4174,"frozenset({'odisha', 'district'})",3
204,"frozenset({'two', 'day'})",3
4294,"frozenset({'update', 'th'})",3
226,"frozenset({'july', 'pm'})",3
4175,"frozenset({'odisha', 'hour'})",3
4176,"frozenset({'report', 'th'})",3
10573,"frozenset({'public', 'school'})",3
9451,"frozenset({'protest', 'global'})",3
9450,"frozenset({'alert', 'protest'})",3
263,"frozenset({'help', 'business'})",3
269,"frozenset({'year', 'today'})",3
1202,"frozenset({'day', 'million'})",3
9792,"frozenset({'virus', 'day'})",3
10672,"frozenset({'today', 'realdonaldtrump'})",3
6297,"frozenset({'speedy', 'recovery'})",3
1313,"frozenset({'say', 'take'})",3
11017,"frozenset({'keep', 'wear'})",3
10461,"frozenset({'come', 'work'})",3
430,"frozenset({'record', 'total'})",3
6298,"frozenset({'wish', 'speedy'})",3
2599,"frozenset({'golf', 'realdonaldtrump'})",3
961,"frozenset({'quarter', 'second'})",3
419,"frozenset({'today', 'july'})",3
6316,"frozenset({'say', 'know'})",3
422,"frozenset({'one', 'need'})",3
2598,"frozenset({'golf', 'trump'})",3
442,"frozenset({'government', 'uk'})",3
10743,"frozenset({'sanitizer', 'hand'})",3
5787,"frozenset({'low', 'rate'})",3
440,"frozenset({'mask', 'wash'})",3
5791,"frozenset({'hkt', 'august'})",3
1309,"frozenset({'make', 'decision'})",3
4797,"frozenset({'jee', 'neet'})",3
6,"frozenset({'hard', 'hit'})",3
3,"frozenset({'total', 'recover'})",3
11172,"frozenset({'make', 'wear'})",3
1225,"frozenset({'delay', 'election'})",3
1032,"frozenset({'news', 'trump'})",3
11174,"frozenset({'make', 'need'})",3
978,"frozenset({'report', 'since'})",3
9944,"frozenset({'realdonaldtrump', 'hoax'})",3
403,"frozenset({'think', 'time'})",3
6234,"frozenset({'could', 'say'})",3
5859,"frozenset({'make', 'vaccine'})",3
9353,"frozenset({'return', 'work'})",3
1320,"frozenset({'update', 'confirm'})",3
1061,"frozenset({'like', 'trump'})",2
995,"frozenset({'break', 'die'})",2
4769,"frozenset({'postpone', 'neet'})",2
1592,"frozenset({'mask', 'order'})",2
6701,"frozenset({'corona', 'uk'})",2
10258,"frozenset({'include', 'work'})",2
11687,"frozenset({'join', 'look'})",2
5181,"frozenset({'able', 'count'})",2
1536,"frozenset({'rate', 'total'})",2
10226,"frozenset({'change', 'include'})",2
7157,"frozenset({'total', 'tamilnadu'})",2
6696,"frozenset({'today', 'record'})",2
7179,"frozenset({'virus', 'without'})",2
8905,"frozenset({'still', 'want'})",2
979,"frozenset({'time', 'since'})",2
976,"frozenset({'today', 'since'})",2
5163,"frozenset({'person', 'count'})",2
7119,"frozenset({'make', 'work'})",2
1543,"frozenset({'hydroxychloroquine', 'doctor'})",2
12117,"frozenset({'high', 'pm'})",2
5180,"frozenset({'able', 'person'})",2
1564,"frozenset({'facebook', 'twitter'})",2
7133,"frozenset({'one', 'trump'})",2
1561,"frozenset({'hydroxychloroquine', 'cure'})",2
5175,"frozenset({'person', 'florida'})",2
5174,"frozenset({'able', 'florida'})",2
1529,"frozenset({'private', 'hospital'})",2
1043,"frozenset({'force', 'task'})",2
5183,"frozenset({'earlyvoting', 'able'})",2
5173,"frozenset({'earlyvoting', 'florida'})",2
1554,"frozenset({'dr', 'stella'})",2
5172,"frozenset({'willing', 'florida'})",2
1030,"frozenset({'month', 'day'})",2
14102,"frozenset({'thru', 'drive'})",2
10606,"frozenset({'public', 'news'})",2
1544,"frozenset({'hydroxychloroquine', 'work'})",2
10240,"frozenset({'news', 'world'})",2
5171,"frozenset({'nov', 'florida'})",2
1583,"frozenset({'great', 'work'})",2
5170,"frozenset({'florida', 'eod'})",2
11708,"frozenset({'graph', 'show'})",2
1549,"frozenset({'hydroxychloroquine', 'trump'})",2
6710,"frozenset({'institute', 'vaccine'})",2
1015,"frozenset({'say', 'die'})",2
